time,agegroup
1185,15610,40
1186,15611,40
1187,15614,30
1188,15614,40
1189,15615,30
1190,15615,40
1191,15619,40
1192,15621,35
1193,15624,30
1194,15625,30
1195,15628,30
1196,15628,35
1197,15629,45
1198,15632,40
1199,15632,45
1200,15636,30
1201,15636,30
1202,15643,45
1203,15644,35
1204,15649,35
1205,15652,30
1206,15653,30
1207,15655,45
1208,15657,35
1209,15661,50
1210,15662,45
1211,15663,45
1212,15666,45
1213,15670,45
1214,15673,55
1215,15678,30
1216,15678,40
1217,15680,35
1218,15681,50
1219,15684,35
1220,15687,40
1221,15688,45
1222,15700,35
1223,15701,35
1224,15703,35
1225,15705,35
1226,15705,40
1227,15706,35
1228,15706,50
1229,15708,40
1230,15710,35
1231,15716,30
1232,15718,40
1233,15718,45
1234,15719,40
1235,15719,45
1236,15722,45
1237,15724,30
1238,15724,40
1239,15724,45
1240,15726,40
1241,15727,35
1242,15733,55
1243,15736,45
1244,15739,45
1245,15740,50
1246,15741,30
1247,15741,30
1248,15741,40
1249,15743,40
1250,15745,40
1251,15746,30
1252,15748,30
1253,15753,30
1254,15756,30
1255,15757,50
1256,15759,35
1257,15761,35
1258,15761,45
1259,15762,30
1260,15762,35
1261,15763,40
1262,15764,40
1263,15767,30
1264,15771,30
1265,15773,50
1266,15774,30
1267,15774,50
1268,15775,40
1269,15776,50
1270,15779,35
1271,15781,30
1272,15781,50
1273,15783,30
1274,15783,40
1275,15786,40
1276,15787,35
1277,15788,40
1278,15788,50
1279,15791,35
1280,15793,30
1281,15793,35
1282,15794,40
1283,15796,30
1284,15801,30
1285,15801,35
1286,15801,40
1287,15803,50
1288,15804,40
1289,15807,30
1290,15807,35
1291,15809,30
1292,15809,40
1293,15809,45
1294,15810,40
1295,15811,40
1296,15811,40
1297,15814,45
1298,15816,40
1299,15820,30
1300,15826,35
1301,15826,40
1302,15826,55
1303,15827,50
1304,15828,45
1305,15833,55
1306,15834,30
1307,15834,50
1308,15836,50
1309,15837,40
1310,15838,40
1311,15839,35
1312,15839,35
1313,15839,40
1314,15840,30
1315,15840,35
1316,15840,40
1317,15840,45
1318,15841,40
1319,15841,45
1320,15842,30
1321,15843,55
1322,15850,30
1323,15851,50
1324,15855,45
1325,15856,30
1326,15857,55
1327,15859,30
1328,15859,50
1329,15860,30
1330,15861,30
1331,15861,45
1332,15862,30
1333,15863,35
1334,15864,40
1335,15865,40
1336,15866,30
1337,15870,40
1338,15871,35
1339,15872,35
1340,15874,40
1341,15875,40
1342,15877,45
1343,15879,45
1344,15883,45
1345,15884,45
1346,15886,45
1347,15886,45
1348,15886,55
1349,15887,35
1350,15888,40
1351,15891,30
1352,15893,40
1353,15895,30
1354,15895,35
1355,15896,30
1356,15896,35
1357,15899,30
1358,15903,30
1359,15905,40
1360,15906,40
1361,15914,40
1362,15920,35
1363,15922,30
1364,15923,35
1365,15925,30
1366,15925,30
1367,15928,45
1368,15931,45
1369,15932,35
1370,15932,45
1371,15934,35
1372,15935,30
1373,15941,40
1374,15944,35
1375,15946,35
1376,15948,35
1377,15950,40
1378,15950,50
1379,15951,35
1380,15953,30
1381,15953,35
1382,15956,30
1383,15958,45
1384,15962,45
1385,15962,50
1386,15965,45
1387,15967,30
1388,15970,50
1389,15971,45
1390,15973,35
1391,15973,50
1392,15974,35
1393,15976,40
1394,15976,50
1395,15977,35
1396,15980,30
1397,15984,40
1398,15984,40
1399,15987,35
1400,15987,45
1401,15987,55
1402,15990,35
1403,15993,40
1404,15995,35
1405,15996,30
1406,15997,40
1407,15999,40
1408,16001,30
1409,16005,40
1410,16006,35
1411,16006,45
1412,16007,35
1413,16008,30
1414,16016,45
1415,16017,30
1416,16024,45
1417,16025,40
1418,16027,30
1419,16028,35
1420,16030,40
1421,16030,45
1422,16031,40
1423,16032,30
1424,16033,40
1425,16034,35
1426,16034,40
1427,16035,45
1428,16036,50
1429,16037,35
1430,16038,40
1431,16039,35
1432,16044,30
1433,16044,35
1434,16045,45
1435,16046,30
1436,16046,40
1437,16052,40
1438,16052,45
1439,16054,30
1440,16056,45
1441,16057,50
1442,16058,30
1443,16060,40
1444,16063,40
1445,16064,45
1446,16067,30
1447,16067,35
1448,16067,50
1449,16069,40
1450,16071,30
1451,16071,45
1452,16071,45
1453,16072,50
1454,16075,35
1455,16076,45
1456,16077,30
1457,16077,40
1458,16078,30
1459,16078,45
1460,16083,30
1461,16086,40
1462,16090,40
1463,16090,45
1464,16090,50
1465,16091,55
1466,16092,30
1467,16093,35
1468,16096,45
1469,16098,30
1470,16099,30
1471,16101,35
1472,16102,45
1473,16103,30
1474,16103,40
1475,16104,30
1476,16104,45
1477,16105,40
1478,16114,40
1479,16114,40
1480,16116,30
1481,16116,40
1482,16119,30
1483,16119,35
1484,16123,50
1485,16124,35
1486,16124,40
1487,16125,45
1488,16130,35
1489,16132,30
1490,16134,35
1491,16137,30
1492,16147,45
1493,16149,50
1494,16150,30
1495,16151,35
1496,16154,30
1497,16154,40
1498,16159,40
1499,16161,35
1500,16161,40
1501,16164,40
1502,16168,45
1503,16170,30
1504,16170,35
1505,16173,40
1506,16174,30
1507,16174,40
1508,16175,35
1509,16177,40
1510,16178,35
1511,16179,45
1512,16181,50
1513,16186,30
1514,16190,30
1515,16192,35
1516,16192,45
1517,16193,35
1518,16194,30
1519,16196,40
1520,16197,35
1521,16198,40
1522,16199,40
1523,16202,50
1524,16209,30
1525,16211,30
1526,16217,50
1527,16218,40
1528,16218,40
1529,16224,45
1530,16225,30
1531,16225,40
1532,16229,40
1533,16229,50
1534,16230,55
1535,16239,40
1536,16240,35
1537,16242,45
1538,16244,40
1539,16244,40
1540,16245,40
1541,16246,35
1542,16247,35
1543,16249,40
1544,16250,30
1545,16252,45
1546,16253,30
1547,16254,45
1548,16257,40
1549,16260,30
1550,16260,35
1551,16261,30
1552,16261,30
1553,16262,35
1554,16263,35
1555,16264,40
1556,16266,35
1557,16267,30
1558,16269,40
1559,16272,45
1560,16275,30
1561,16276,35
1562,16276,35
1563,16276,40
1564,16282,45
1565,16286,30
1566,16290,35
1567,16290,50
1568,16294,40
1569,16296,35
1570,16296,40
1571,16298,40
1572,16302,40
1573,16303,30
1574,16303,35
1575,16304,35
1576,16311,30
1577,16312,40
1578,16314,35
1579,16316,55
1580,16319,30
1581,16322,45
1582,16323,30
1583,16323,30
1584,16323,40
1585,16327,45
1586,16329,35
1587,16330,35
1588,16331,40
1589,16334,30
1590,16337,30
1591,16348,45
1592,16357,45
1593,16358,35
1594,16359,30
1595,16359,50
1596,16359,50
1597,16361,45
1598,16363,30
1599,16363,50
1600,16364,35
1601,16365,40
1602,16369,40
1603,16370,35
1604,16371,40
1605,16371,40
